;POLICY_ID;POLICY_IS_RENEWED;POLICY_IS_RENEWED_PROBABILITY
0;10;1;0,89298904
1;12;1;0,6880328
2;13;1;0,62502545
3;22;0;0,42313418
4;37;1;0,82219
5;38;0;0,43191215
6;41;0;0,19219144
7;44;1;0,6984835
8;45;0;0,3735178
9;54;1;0,82808983
10;62;1;0,73037565
11;70;1;0,62274426
12;71;0;0,17786357
13;73;1;0,5712582
14;80;1;0,6787728
15;85;1;0,931289
16;87;1;0,7402868
17;94;1;0,5252504
18;103;0;0,45655668
19;108;1;0,75581884
20;115;0;0,41940364
21;116;1;0,5461241
22;118;1;0,6234914
23;125;1;0,64144474
24;132;1;0,8198573
25;133;0;0,39788872
26;134;1;0,84158146
27;138;1;0,80463094
28;139;1;0,78778857
29;147;0;0,3121998
30;150;0;0,2707991
31;151;1;0,5985455
32;153;1;0,74657893
33;155;1;0,5757602
34;159;1;0,8336224
35;160;0;0,18843427
36;161;0;0,28062937
37;163;1;0,64515275
38;164;1;0,6784389
39;166;1;0,6930714
40;168;1;0,84703726
41;169;1;0,7932424
42;172;1;0,63699985
43;182;1;0,63661635
44;188;1;0,8487521
45;189;1;0,5580825
46;190;0;0,45853445
47;193;0;0,46209803
48;194;1;0,81498784
49;196;0;0,4282298
50;215;0;0,031957388
51;218;1;0,7389392
52;228;1;0,7473558
53;230;1;0,569098
54;236;1;0,6488861
55;244;0;0,4572874
56;253;1;0,824998
57;263;1;0,8847062
58;265;1;0,745248
59;268;1;0,7605539
60;273;1;0,6192461
61;284;0;0,39390364
62;286;0;0,25553146
63;305;1;0,8751134
64;307;0;0,36576205
65;309;1;0,85029435
66;310;0;0,4931393
67;313;1;0,6862155
68;318;1;0,7938855
69;323;0;0,41270447
70;327;1;0,8003345
71;329;1;0,7627039
72;341;1;0,7386842
73;344;1;0,7218168
74;345;1;0,86349136
75;354;0;0,14707926
76;355;1;0,6014642
77;357;1;0,9121303
78;360;1;0,72893953
79;365;1;0,7344969
80;367;1;0,803851
81;369;0;0,33816808
82;370;1;0,89296347
83;383;1;0,79219043
84;384;0;0,40965745
